Annotator,ACLED/GDELT,Index,Time,Country,Actor 1,Actor 2,Article Url,Event Description,Is the event relevant?,"Why is the event NOT relevant? 
(if applicable)",tribal/communal/ethnic conflict,religious conflict,socio-political violence against women,climate-related security risks,Other,train_dev_test_split
A1,ACLED,SSD5371,2018-11-27,South Sudan,Unidentified Armed Group (South Sudan),Civilians (South Sudan); Women (South Sudan),,"Between November 19th and 29th, 125 women of ages ranging between 10 to over 65 were reported to have been victims of sexual violence, beatings and robberies in Rubkona county (Unity state), according to a statement issued by MSF, who also noted that this rapid increase in the volume of cases was unprecedented in South Sudan. The source does not specify who was behind the attacks. Coded as one VAC event each day.",No,3. A summary of different situations,,,,,,test
A1,GDELT,998385657,20210806,Ethiopia,AMHARA,ETHIOPIA,https://apnews.com/3da7782feab798df0a06b3daade8a9f2,"NAIROBI, Kenya (AP) — Ethiopia’s spreading Tigray conflict faced a dangerous escalation Friday as an Amhara regional official said Amhara forces will launch an offensive on Saturday against Tigray forces who have entered the region and taken control of a town hosting a UNESCO World Heritage Site.
“This is the time for the Amhara people to crush the terrorist group,” Sema Tiruneh, the Amhara region’s head of peace and security, told the regional state-affiliated Amhara Media Corporation. “Everyone should come forward and defend themselves.”
In response, Tigray forces’ spokesman Getachew Reda told The Associated Press that “we’ll extend a warm welcome.” The conflict threatens to destabilize Africa’s second most populous country, where thousands of people have already been killed in the nine-month war.
In a phone interview, Getachew said Tigray forces have crossed into the Amhara region, and the Afar region, in recent weeks in an attempt to break the blockade that Ethiopia’s government has imposed on Tigray. Hundreds of thousands of people face famine conditions, and the United Nations and United States this week sent high-level officials to Ethiopia to urge more access for aid.
“We have to deal with anyone who’s still shooting,” Getachew said. “If it takes marching to Addis to silence the guns, we will. But I hope we’ll not have to.” Civilians shouldn’t fear, he said in response to allegations by ethnic Amhara that the Tigray forces have carried out attacks.",Yes,,X,,,,,train
A1,ACLED,SSD3453,2016-12-05,South Sudan,Unidentified Armed Group (South Sudan),Civilians (South Sudan); Women (South Sudan),,A gunman in uniform killed the wife of a local chief in Wau town.,Yes,,,,X,,,dev
A1,GDELT,1127670535,20230918,Ethiopia,MILITIA,ETHIOPIA,https://www.latimes.com/world-nation/story/2023-09-18/un-experts-say-ethiopias-conflict-and-tigray-fighting-left-over-10-000-survivors-of-sexual-violence,"A Tigrayan refugee rape victim who fled the conflict in Ethiopia’s Tigray sits for a portrait in eastern Sudan near the Sudan-Ethiopia border on March 20, 2021.
U.N.-backed human rights experts say war crimes continue in Ethiopia despite a peace accord signed nearly a year ago to end a conflict that engulfed the country’s northern Tigray region. The violence has left at least 10,000 people affected by rape and other sexual violence — mostly women and girls, they found.
They warned of “hallmark risks” that the violence could spread further, producing more “atrocity crimes” and jeopardize security more broadly in East Africa. With a multiethnic population of about 120 million, Ethiopia is by far the most populous country in the region.
The experts’ report, published Monday, comes against the backdrop of an uncertain future for the team of investigators who wrote it: The U.N. Human Rights Council is set to decide early next month whether to extend the team’s mandate in the face of efforts by the Ethiopian government of Prime Minister Abiy Ahmed to end it.
Advertisement",No,3. A summary of different situations,,,,,,test
A1,GDELT,914644261,20200326,Ethiopia,OROMO,STUDENT,https://theowp.org/no-news-on-ethiopian-students-kidnapped-on-december-2019/,"On December 2019, 18 students from Dembi Dolo University in western Ethiopia were abducted, allegedly by the Oromo Liberty Front (OLF) while travelling to the capital Addis Ababa through Gambella. 14 women and 4 male, mostly ethnic Amharas students were feeling from ethnic violence and threats in their university located in Oromia region. Only one student, Asmira Shumiye managed to escape from her captives. After her escape, it took months for the Ethiopian government to act on the issue. Organized protests and social media campaign, “#BringBackOurStudents,” had little effect. On January 11, the prime minister’s office said that 21 students were released while 6 were still missing. According to BBC News, there is no clarity on why there is a huge disparity of numbers. Contrary to the office’s statement students’ families say they have not heard from them, which fueled more anti-governmental protests and more pressure on the government to take action to bring the students back their homes.
Asmira, who escaped from her captors, said that they were selected and forced to leave the bus by men “looked like gangsters.” According to her, they were speaking in Afaan Oromo language and told them that their problem was with the government, which made the allegations against OLF stronger, even though the group denies any ties to the event. A family member of one of the students, Mare Abebe to BBC said, “We don’t know whether they are alive or not, but we can’t do anything unless the government return our children or lets us know what happened to them.” Another parent Yeneneh Adugnam told the AP news “We are living in an anguish every day… We want to know whether they are alive or dead. No one is giving us any information.” Similarly, the activist, Meti Shewaye Yilma, through Twitter, asked the government if there were any news or progress made on the case. In January, the former deputy president of Amhara region, Lake Ayalew admitted that there was little effort made to release the students which led it to become long term problem. It has been months since Prime Minister Abiy Ahmed met with worried parents and assured them that their children would return safely. According to BBC, the Prime Minister seemed to be at a loss when no one took responsibility for the kidnappings. In February he said, “If we could say something bad happened to the students, there is no evidence to show that,” to keep the hopes high.
Ethiopian people appear to be suffering from inter-ethnic division and tension between Oromo and Amhara people. This tension sparked with the foundation of OLF in 1973 and still goes on. Regardless, if OFL is responsible for the kidnapping of the students or not, what Asmira said about her captors may indicate that this event was fueled by the ethnical tension. The unclarity of the numbers announced by the government and their claims of the majority of students being freed despite parents’ concern of not hearing back from these supposedly freed students are concerning and shows us how the government is lacking control on the situation. Prime Minister Abiy Ahmed should take more action in collecting information on the incident and locate the location of the captives. Many families and friends are suffering from this tragic event and not having heard from their loved ones diminish their hope every day. These people need their government to provide information on the situation of their loved ones to either keep their hopes on or mourn. Hopefully, Mr. Ahmed will listen to his people and successfully bring back their loved ones.
Prime Minister Abiy Ahmed who himself from Oromo ethnicity, took the office in 2017. He was praised for having a gender-equal cabinet and ending a two-decade-long conflict with Eritrea which led him to be awarded the 2019 Nobel Peace Prize. His policy to open up the political space under which he invited several opposition leaders to Ethiopia in 2018, and loosening of state controls, according to Deutsche Welle, reignited the ethnic conflicts. In Ethiopia’s south, there is the unresolved conflict between the Oromo, one of the largest ethnic group with the population of 100 million, and ethnic Somalis over land which displaced hundreds of thousands of people. In the west of the country, many were killed in the clashes between armed groups and the army. And this ongoing violence and insecurity led to increasing criticism of the government. While the public criticized the government for failing to protect its people, Oromos were accusing the officials of discriminating against them. The clashes between Amhara and Oromos people was spread to the Dembi Dolo University campus. In the past few months, clashes resulted in the killing of 12 students and 35,000 dropping out of university.
It has been three months since the kidnapping of these students, hopefully soon the government can be able to answer the questions families have. It seems if the group responsible for the instance announce their reasons, who they are and what they want this can give families hope and required intelligence to the government. For a long-term solution to prevent events like this happening, the Ethiopian government should work to end this inter-ethnic conflict going on.",No,3. A summary of different situations,,,,,,train
A1,ACLED,ETH8101,2020-11-16,Ethiopia,Police Forces of Ethiopia (2018-2023) Amhara Regional Special Forces; Fano Youth Militia,Civilians (Ethiopia); Women (Ethiopia),,"On 16 November 2020, Amhara special forces and associated Fano militias raped a woman near May Cadera (Western Tigray, Tigray).",Yes,,,,X,,,test
A1,ACLED,SUD9750,2016-09-06,Sudan,Janjaweed,Civilians (Sudan); Refugees/IDPs (Sudan); Fur Ethnic Group (Sudan); Women (Sudan),,"Five Janjaweed militiamen assaulted and raped a displaced woman from the Fur ethnic group as she was on her way from the Rwanda IDP camp to her farm in Um Barnqa village, near Tawila.",No,1. Not in Horn of Africa region,,,,,,test
A1,GDELT,977579519,20210401,Eritrea,COMBATANT,,https://dailyprogress.com/opinion/editorial/opinion-editorial-stop-the-violence-in-tigray/article_b1116dea-9251-11eb-a6a6-5721715e6c27.html,"After months of denials, Ethiopia’s prime minister, Abiy Ahmed, has finally admitted what everyone knew about the conflict in the Tigray region: Eritrean troops are present alongside the federal military, and atrocities have been reported.
War is “a nasty thing”, he added — a remark that barely scratched the surface of the terrible human toll.
Thousands have died since fighting began in November, many of them civilians. This week, the heads of nine U.N. agencies and other officials demanded a halt to attacks against non-combatants, including rape and other sexual violence. Médecins Sans Frontières reported that its staff had witnessed at least four men being dragged from buses and shot dead this week. Almost 70% of medical facilities in the region have been deliberately looted, vandalized or destroyed, with only 13% functioning normally, while schools have been occupied by fighters. Even refugee camps have been targeted.
There is now extensive evidence that Eritrean forces killed hundreds of civilians, including children as young as 13, in Axum in November and reports that they killed more than 160 in the village of Dengolat. Witnesses have accused members of the Tigray People’s Liberation Front of massacring scores and probably hundreds of civilians at Mai-Kadra in western Tigray in the same month.
Antony Blinken, the U.S. secretary of state, warned earlier this month of ethnic cleansing in western Tigray, where armed forces from the neighboring Amhara region have joined the federal army against the TPLF, saying they are reclaiming stolen land.",No,3. A summary of different situations,,,,,,test
A1,GDELT,1050189179,20220619,Ethiopia;Kenya,AMHARA,KENYA,https://www.northcountrypublicradio.org/news/npr/1106157864/more-than-200-killed-in-attack-in-ethiopia-witnesses-say,"NAIROBI, Kenya — Witnesses in Ethiopia said Sunday that more than 200 people, mostly ethnic Amhara, have been killed in an attack in the country's Oromia region and are blaming a rebel group, which denies it.
It is one of the deadliest such attacks in recent memory as ethnic tensions continue in Africa's second most populous country.
""I have counted 230 bodies. I am afraid this is the deadliest attack against civilians we have seen in our lifetime,"" Abdul-Seid Tahir, a resident of Gimbi county, told The Associated Press after barely escaping the attack on Saturday. ""We are burying them in mass graves, and we are still collecting bodies. Federal army units have now arrived, but we fear that the attacks could continue if they leave.""
Another witness, who gave only his first name, Shambel, over fears for his safety, said the local Amhara community is now desperately seeking to be relocated somewhere else ""before another round of mass killings happen."" He said ethnic Amhara that settled in the area about 30 years ago in resettlement programs are now being ""killed like chickens.""
Both witnesses blamed the Oromo Liberation Army for the attacks. In a statement, the Oromia regional government also blamed the OLA, saying the rebels attacked ""after being unable to resist the operations launched by (federal) security forces.""",Yes,,X,,,,,train
A1,ACLED,UGA5878,2020-03-27,Uganda,Police Forces of Uganda (1986-),Civilians (Uganda),,"On 27 March 2020, police beat a number of civilians at a bar in Busega (Kampala) whilst enforcing coronavirus lockdown measures. The police attacked a heavily pregnant lady who had taken shelter from rain at the bar, and who was unable to flee the beatings. Three police have been arrested.",Yes,,,,X,,,test
